place.name,place.description,place.prices,place.ratings,place.mentions,place.location,place.region,place.spenttime,place.openingtime
Kang Ha Pheng Sim Kok,Architectural Buildings,NA,4.0,,"Address1 Lorong Bachok Geylang Shop Houses, Singapore 387780 Singapore",Neighborhood: Aljunied,< 1 hour,NA
Takashimaya Department Store,Department Stores,NA,4.0,,"Address391A, Singapore 238873 Singapore",Neighborhood: Boulevard,NA,NA
Nirvana Memorial Garden,Points of Interest & Landmarks,NA,5.0,"columbarium,arches,majestic","Address950 Old Choa Chu Kang Road Choa Chu Kang Columbarium, Singapore 699816 Singapore",Neighborhood: Western Water Catchment,1-2 hours,8:30 AM - 5:30 PM
Khadijah Mosque,Religious Sites,NA,3.5,,"Address583 Geylang Road Masjid Khadijah Aftter Lorong-30 & Before Lorong-29 Geylang, Singapore 389522 Singapore",Neighborhood: Aljunied,< 1 hour,NA
Burberry,Airport Shops,NA,3.5,,NA,Neighborhood: Changi,NA,NA
Hackson and Sons Shoe Polish and Artefacts Museum,Speciality Museums,NA,5.0,,"Address31 Woodlands Close Woodlands Horizon, Singapore 737855 Singapore",Neighborhood: Woodlands,< 1 hour,9:00 AM - 5:00 PM
Al-Amin Mosque,Points of Interest & Landmarks,NA,4.0,,"Address50 Telok Blangah Road Bay Hotel Singapore 098801, Singapore 098828 Singapore",Neighborhood: Bukit Merah,NA,NA
Michael Kors,Airport Shops,NA,1.5,,NA,Neighborhood: Changi,NA,NA
Darussalam Mosque,Churches & Cathedrals,NA,3.5,,"Address3002 Commonwealth Avenue West Masjid Darussalam, Singapore 129579 Singapore",Neighborhood: Clementi,NA,NA
Adidas Originals,Airport Shops,NA,4.5,,NA,Neighborhood: Changi,NA,NA
Vista Point,Shopping Malls,NA,4.0,,"Address548 Woodlands Drive 44 Vista Point, Singapore 730548 Singapore",Neighborhood: Woodlands South,NA,NA
Northpoint City,Shopping Malls,NA,3.5,,"Address930 Yishun Avenue 2 Singapore 769098, Singapore 769098 Singapore",Neighborhood: Yishun,NA,10:30 AM - 10:30 PM
Duxton Plain Park,Parks,NA,3.5,"tanjong pagar,heritage trees,hoxton","AddressNew Bridge Road, Singapore 089140 Singapore",Neighborhood: Outram,< 1 hour,NA
Kancanarama Buddhist Temple,Points of Interest & Landmarks,NA,4.5,,"Address2 Lorong Ong Lye Kancanarama Buddhist Temple, Singapore 536358 Singapore",Neighborhood: Serangoon,1-2 hours,NA
The Art Connector,Points of Interest & Landmarks • Monuments & Statues • Scenic Walking Areas,NA,3.5,,"Address23C Coleman Street, Singapore 179808 Singapore",Neighborhood: Museum,< 1 hour,NA
Prinsep Street Presbyterian Church,Churches & Cathedrals,NA,3.0,,"Address77 Prinsep Street Prinsep St Presbyterian Church, Singapore 188649 Singapore",Neighborhood: Rochor,< 1 hour,9:00 AM - 5:00 AM
Discover Singapore,Airport Shops,NA,5.0,,NA,Neighborhood: Changi,NA,NA
Ramakrishna Mission temple,Religious Sites,NA,4.0,,"Address179 Bartley Road Ramakrishna Mission Boys' Home Near Bartley MRT, Singapore 539784 Singapore",Neighborhood: Serangoon,1-2 hours,"6:00 AM - 12:30 PM, 4:00 PM - 8:30 PM"
HADO Singapore,Sports Camps & Clinics,NA,5.0,,"Address10 Ubi Crescent Ubi Techpark Ubi Techpark, Singapore 408564 Singapore",Neighborhood: Somerset,< 1 hour,NA
DFS Wines & Spirits,Airport Shops,NA,3.5,,NA,Neighborhood: Changi,NA,NA
Former Combined Operations Room Exhibition,Historic Sites,NA,5.0,,"Address195 Pearl's Hill Terrace, Singapore 168976 Singapore",Neighborhood: Central Area/City Area,< 1 hour,10:00 AM - 5:00 PM
Masjid Hajjah Rahimabi Kebun Limau,Religious Sites,NA,3.5,,"Address76 Kim Keat Road Masjid Hajjah Rahimabi Kebun Limau Balestier, Singapore 328835 Singapore",Neighborhood: Novena,1-2 hours,NA
Changi Murals,History Museums,NA,4.0,,NA,Neighborhood: Geylang East,NA,NA
Shaw Tower,Shopping Malls,NA,2.5,,"Address100 Beach Road Shaw Towers, Singapore 189702 Singapore",Neighborhood: Central Area/City Area,NA,NA
Polar Bear Gallery,Art Galleries,NA,5.0,,"Address69A Haji Lane, Singapore 189262 Singapore",Neighborhood: Rochor,1-2 hours,NA
Garden Rhapsody,Cultural Events,NA,4.5,,"Address211 Marina Way Gardens by the Bay, Singapore 018977 Singapore",Neighborhood: Central Area/City Area,< 1 hour,NA
Discover Singapore,Airport Shops,NA,3.0,,NA,Neighborhood: Changi,NA,NA
Star Island,Seasonal Fireworks,NA,3.0,,NA,NA,NA,NA
Lalin Gallery,Points of Interest & Landmarks,NA,5.0,,"Address1 Beach Road #01-24 Raffles Hotel Raffles Hotel Singapore, Singapore 189673 Singapore",Neighborhood: Central Area/City Area,NA,11:00 AM - 8:00 PM
REV Fight Club Gym,Sports Camps & Clinics,NA,5.0,,"Address11D Hongkong Street Level 5, Singapore 059654 Singapore",Neighborhood: Central Area/City Area,NA,NA
Night life in krabi,Points of Interest & Landmarks,NA,4.5,,NA,NA,NA,NA
Church of St Ignatius,Churches & Cathedrals,NA,4.0,,"Address120 King’s Road, Singapore 268172 Singapore",NA,NA,NA
The Gallery of Gnani Arts,Art Galleries,NA,4.0,,"Address19 Tanglin Road #02-41 Tanglin Shopping Centre Golden Wheel Building, Singapore 247909 Singapore",Neighborhood: Central Area/City Area,NA,10:00 AM - 6:00 PM
Mont Blanc,Airport Shops,NA,4.0,,NA,Neighborhood: Changi,NA,NA
Safra Club's Swimming Pool,Sports Complexes,NA,5.0,,"Address1/A Tampines Street 92 Safra Clubhouse (Tampines), Singapore 528882 Singapore",Neighborhood: Tampines,NA,NA
Zhun Ti Gong,Religious Sites,NA,3.0,,"Address13 Keong Saik Road, Singapore 089120 Singapore",Neighborhood: Central Area/City Area,NA,NA
Mohamed Ali Lane,Points of Interest & Landmarks,NA,4.5,,NA,Neighborhood: Outram,NA,12:00 AM - 11:59 PM
Giordano,Airport Shops,NA,3.5,,NA,Neighborhood: Changi,NA,NA
Former House of Tan Yeok Nee,Architectural Buildings,NA,3.0,,"Address101 Penang Road House of Tan Yeok Nee Singapore 238466, Singapore 238466 Singapore",Neighborhood: Museum,< 1 hour,NA
Church of the Nativity of the Blessed Virgin Mary,Churches & Cathedrals,NA,3.5,,"Address1259 Upper Serangoon Road, Singapore 534795 Singapore",Neighborhood: Hougang Central,< 1 hour,NA
Old Admiralty House,Architectural Buildings,NA,3.0,,"Address345 Old Nelson Road Admiralty Hill, Singapore 758692 Singapore",Neighborhood: Sembawang,< 1 hour,8:00 AM - 5:00 PM
iStudio,Airport Shops,NA,3.0,,NA,Neighborhood: Changi,NA,NA
Gajah Gallery,Art Galleries • Art Museums,NA,4.0,,"Address39 Keppel Road Tanjong Pagar Distripark #03-04, Tanjong Pagar Distripar, Singapore 089065 Singapore",Neighborhood: Bukit Merah,< 1 hour,11:00 AM - 7:00 PM
Alexandra Technopark,Points of Interest & Landmarks,NA,5.0,,"Address438A Alexandra Road Alexandra Technopark, Singapore 119967 Singapore",Neighborhood: Pasir Panjang 2,NA,NA
Triple One Somerset,Shopping Malls,NA,3.5,,"Address111 Somerset Road Tripleone Somerset, Singapore 238164 Singapore",Neighborhood: Somerset,NA,NA
Nyee Phoe Flower Garden,Nature & Wildlife Areas,NA,3.5,,"Address240 Neo Tiew Crescent, Singapore 718898 Singapore",Neighborhood: Lim Chu Kang,NA,NA
100 AM,Shopping Malls,NA,3.5,,"Address100 Tras Street 100 AM, Singapore 079027 Singapore",Neighborhood: Anson,2-3 hours,10:00 AM - 10:00 PM
Kult Studio & Gallery,Art Galleries,NA,4.5,,"Address11 Upper Wilkie Road Blk C2-5 Emily Hill, Singapore 228120 Singapore",Neighborhood: Rochor,1-2 hours,11:00 AM - 7:00 PM
Maplewood Park,Parks,NA,3.5,,NA,Neighborhood: Hougang,NA,12:00 AM - 11:59 PM
The Pamela Hat sculpture,Monuments & Statues,NA,3.5,,NA,Neighborhood: Moulmein,< 1 hour,NA
Peranakan Trail,Hiking Trails,NA,3.0,,"Address91 Joo Chiat Road, Singapore 427385 Singapore",Neighborhood: Geylang East,NA,NA
Wat Palelai,Points of Interest & Landmarks • Architectural Buildings • Religious Sites,NA,4.0,,"Address49 Bedok Walk, Singapore 469145 Singapore",Neighborhood: Bedok,1-2 hours,NA
Marina Bay Sands Theatre,Theaters,NA,3.0,,"Address10 Bayfront Avenue Marina Bay Sands The Shoppes at Marina Bay Sands, Singapore 018956 Singapore",Neighborhood: Marina Bay,NA,NA
Stamford House,Architectural Buildings • Shopping Malls,NA,3.5,,NA,NA,NA,NA
Watson's Personal Care Store,Airport Shops,NA,4.0,,NA,Neighborhood: Changi,NA,NA
Church of the Holy Spirit,Churches & Cathedrals,NA,3.5,,"Address248 Upper Thomson Road, Singapore 574371 Singapore",Neighborhood: Bishan,NA,NA
Ubin Thai Buddhist Temple,Points of Interest & Landmarks • Religious Sites,NA,4.0,,"Address70 Sengkang West Avenue #01-03, Singapore 797651 Singapore",Neighborhood: Fernvale,1-2 hours,NA
Bukit Panjang Plaza,Shopping Malls,NA,4.0,,"Address1 Jelebu Road Bukit Panjang Plaza, Singapore 677743 Singapore",Neighborhood: Bukit Panjang,NA,NA
BorderX,Sports Complexes,NA,4.0,,"Address181 Orchard Road #04-22 Orchard Central, Singapore 238896 Singapore",Neighborhood: Somerset,NA,11:00 AM - 9:00 PM
Kiehl's,Airport Shops,NA,5.0,,NA,Neighborhood: Changi,NA,NA
"Statue: A great emporium, Singapore",Points of Interest & Landmarks • Piers & Boardwalks • Monuments & Statues,NA,3.5,,NA,Neighborhood: Sengkang,NA,NA
Lifesystems Chiropractic Pte Ltd,Sports Camps & Clinics,NA,5.0,,"Address237 Alexandra Road The Alexcier #06-13, Singapore 159929 Singapore",Neighborhood: Bukit Merah,NA,NA
Aero-green Technology,Farms,NA,3.5,,"Address260 Neo Tiew Crescent, Singapore 718899 Singapore",Neighborhood: Lim Chu Kang,NA,NA
Singapore Dance Theatre,Theaters,NA,4.5,,"AddressFort Canning Centre 2nd Storey, Cox Terrace, Singapore 179618 Singapore",Neighborhood: Museum,NA,NA
Pandora,NA,NA,NA,,NA,Neighborhood: Changi,NA,NA
Saint George's Church,Architectural Buildings • Churches & Cathedrals,NA,4.0,,"Address44 Minden Road St. George's Church Singapore 248816, Singapore 248816 Singapore",Neighborhood: Tanglin,< 1 hour,NA
Katong Park,Parks,NA,3.0,,"Address59 Fort Road, Singapore 439105 Singapore",Neighborhood: Tanjong Rhu,< 1 hour,NA
Mesjid Temenggong Daeng Ibrahim,Architectural Buildings • Religious Sites,NA,3.5,,NA,Neighborhood: Bukit Merah,NA,NA
Tourist and Transit Hub,Scenic Walking Areas,NA,4.0,,"Address30 Raffles Avenue #01-05 Singapore Flyer, Singapore 039803 Singapore",Neighborhood: Marina Centre,NA,NA
NTU Centre for Contemporary Art,Art Galleries,NA,4.5,,"AddressBlk 43 Malan Road Gillman Barracks, Singapore 109443 Singapore",Neighborhood: Telok Blangah Drive,2-3 hours,12:00 PM - 7:00 PM
Objectifs - Centre for Photography & Film,Art Galleries,NA,4.0,,"Address155 Middle Road, Singapore 188977 Singapore",Neighborhood: Rochor,NA,NA
Masjid Darul Ghufran,Religious Sites,NA,5.0,,"Address503 Tampines Avenue 5 Masjid Darul Gufran, Singapore 529651 Singapore",Neighborhood: Tampines,< 1 hour,NA
Dragonfly Bridge,Bridges,NA,4.0,,NA,Neighborhood: Central Area/City Area,< 1 hour,NA
Olympic Walk,Points of Interest & Landmarks,NA,3.5,,"Address10 Bayfront Avenue Marina Bay Sands, Singapore 018956 Singapore",Neighborhood: Marina Bay,< 1 hour,12:00 AM - 11:59 PM
Naiise Iconic,Shopping Malls,NA,4.5,,"Address78 Airport Blvd #02-205 Jewel, Singapore Changi Airport,, Singapore 819666 Singapore",Neighborhood: Changi,More than 3 hours,10:00 AM - 10:00 PM
Fashion Avenue,Airport Shops,NA,5.0,,NA,Neighborhood: Changi,NA,NA
Fire Flies Health Farm,Farms,NA,3.0,,"Address50 Lim Chu Kang Lane 2 Lot 75, Singapore 718822 Singapore",Neighborhood: Lim Chu Kang,NA,NA
"Statue: From Chettiars to Financiers, Singapore",Points of Interest & Landmarks • Piers & Boardwalks • Monuments & Statues,NA,3.5,,NA,Neighborhood: Bedok South,NA,NA
Journey East,Antique Shops,NA,4.5,,"Address315 Outram Road #03-02 Tan Boon Liat Building, Singapore 169074 Singapore",Neighborhood: Bukit Merah,NA,NA
Hougang Mall,Shopping Malls,NA,3.5,,"Address90 Hougang Avenue 10 Hougang Mall Hougang Mall, Singapore 538766 Singapore",Neighborhood: Hougang Central,1-2 hours,10:00 AM - 10:00 PM
Redsea Gallery,Art Galleries,NA,5.0,,"AddressDempsey Road Block 9, #01-10 Dempsey Hill, Singapore 247697 Singapore",Neighborhood: Tanglin,< 1 hour,NA
Swiftlet Garden Museum,Speciality Museums,NA,4.0,,"Address10 Neo Tiew Lane 2 d' Kranji Farm Resort D'Kranji Farm Resort, Singapore 718813 Singapore",Neighborhood: Lim Chu Kang,NA,10:00 AM - 6:00 PM
DFS Wines & Spirits,Airport Shops,NA,3.0,,NA,Neighborhood: Changi,NA,NA
Kuan Im Tng Temple,Religious Sites,NA,3.5,,"Address525 Balestier Road, Singapore 329854 Singapore",Neighborhood: Novena,< 1 hour,NA
A Million Times at Changi,Points of Interest & Landmarks,NA,3.5,,"AddressChangi Airport Terminal 2 Departure Hall, Level 1, Public Area, Singapore 918146 Singapore",NA,< 1 hour,NA
The Private Museum,Art Museums,NA,3.0,,"Address51 Waterloo St Unit #02-06, Singapore 187969 Singapore",Neighborhood: Rochor,< 1 hour,10:00 AM - 7:00 PM
Mural : Tiong Bahru Pasar,Points of Interest & Landmarks,NA,4.5,"murals,yip,chong,yew","Address73 Eng Watt Street Tiong Bahru Estate, Singapore 160073 Singapore",Neighborhood: Bukit Merah,NA,NA
District Race,Sporting Events,NA,5.0,,NA,Neighborhood: Central Area/City Area,NA,NA
Kim Yan Agroteck Farm,Points of Interest & Landmarks,NA,4.0,,"Address220 Neo Tiew Crescent, Singapore 718830 Singapore",Neighborhood: Lim Chu Kang,1-2 hours,NA
Sheng Jia Temple,Points of Interest & Landmarks,NA,3.5,,"Address3 Tebing Ln, Singapore 828849 Singapore",Neighborhood: Punggol,NA,NA
The Arena,Arenas & Stadiums,NA,3.0,,"Address48 Woodleigh Park Pub Recreation Club PUB Recreation Club, Singapore 357844 Singapore",Neighborhood: Toa Payoh,1-2 hours,NA
Wat Ananda Metyarama,Points of Interest & Landmarks • Architectural Buildings • Religious Sites,NA,4.5,"monk,buddhist,oldest,presenting,temple","Address50B Jalan Bukit Merah, Singapore 169545 Singapore",Neighborhood: Kampong Tiong Bahru,1-2 hours,NA
Asian Art Platform,Art Galleries,NA,5.0,,"Address292 River Valley Road #02-00, Singapore 238333 Singapore",Neighborhood: Central Area/City Area,< 1 hour,11:00 AM - 6:00 PM
Jeric Salon,Volcanos,NA,4.0,,"Address2 Orchard Turn Ion Orchard, Singapore 238801 Singapore",Neighborhood: Boulevard,NA,NA
Lacoste,Airport Shops,NA,5.0,,NA,Neighborhood: Changi,NA,NA
Struggle Against Communist Party of Malaya Marker,Monuments & Statues,NA,3.5,,"AddressEsplanade Park, Connaught Drive, Singapore 179682 Singapore",Neighborhood: Marina Bay,< 1 hour,NA
Luvenus,Airport Shops,NA,1.0,,"Address60 Airport Boulevard Changi Airport Terminal 2 Terminal 2, Singapore 819643 Singapore",Neighborhood: Changi,NA,NA
Seng Poh Garden & Dancing Girl Sculpture,Monuments & Statues,NA,3.0,,NA,Neighborhood: Bukit Merah,NA,NA
Wat Uttamayanmuni,Points of Interest & Landmarks • Architectural Buildings • Religious Sites,NA,4.0,,"Address32B Hong San Terrace, Singapore 688785 Singapore",Neighborhood: Keat Hong,1-2 hours,NA
Art Retreat,Art Galleries,NA,2.0,,"Address10 Ubi Crescent Ubi Techpark Lobby C # 01 45 47, Singapore 408564 Singapore",Neighborhood: Kampong Ubi,NA,NA
Yong Siew Toh Conservatory of Music,Theaters,NA,4.0,,"Address3 Conservatory Drive, Singapore 117376 Singapore",Neighborhood: National University of Singapore,NA,NA
Telok Kurau Studios,Art Galleries,NA,3.0,,"Address91 Lorong J Telok Kurau, Singapore 425985 Singapore",Neighborhood: Joo Chiat,NA,NA
Miaja Gallery,Art Galleries,NA,5.0,,"Address190 Bukit Timah Road, Singapore 229857 Singapore",Neighborhood: Moulmein,1-2 hours,NA
Memorial to the Victims of Konfrontasi,Monuments & Statues,NA,3.5,,NA,NA,< 1 hour,NA
Ngee Ann Cultural Centre,Speciality Museums,NA,3.0,,"AddressTank Road 2nd Floor 97 Teochew Building, Singapore 238066 Singapore",Neighborhood: Central Area/City Area,NA,NA
Louise Hill Design,Art Galleries,NA,5.0,,"Address5 Westbourne Road #01-01, Singapore 138944 Singapore",Neighborhood: One North,1-2 hours,NA
Theatreworks,NA,NA,NA,,"Address72-13 Mohammad Sultan Road, Singapore 239007 Singapore",Neighborhood: Robertson Quay,NA,NA
Tou Mu Kung Temple,Religious Sites,NA,3.0,,"Address779A Upper Serangoon Road, Singapore 534648 Singapore",Neighborhood: Rosyth,< 1 hour,NA
Singapore Tourism Board,Visitor Centers,NA,4.0,,"Address1 Orchard Spring Lane Tourism Court, Singapore 247729 Singapore",Neighborhood: Central Area/City Area,NA,NA
Laichun Yuen Theatre,Historic Sites,NA,3.5,,NA,Neighborhood: Outram,< 1 hour,NA
Lotto Carpets Gallery,Art Galleries,NA,3.5,,"AddressBlk 26 #01-04, Dempsey Road, Singapore 249686 Singapore",Neighborhood: Tanglin,NA,10:00 AM - 8:00 PM
YANG Gallery,Art Galleries,NA,4.5,,"Address581 Orchard Road Hilton International Singapore #01-11 The Shopping Gallery Hilton, Singapore 238883 Singapore",Neighborhood: Boulevard,NA,10:00 AM - 7:00 PM
Fo Shan Ting Da Bo Gong Temple,Religious Sites,NA,3.5,,NA,NA,NA,NA
Largest Vertical Garden,Gardens,NA,4.0,,"Address10 Collyer Quay Ocean Financial Centre, Singapore 049315 Singapore",Neighborhood: Central Area/City Area,< 1 hour,12:00 AM - 11:59 PM
Foo Hai Ch'an Monastery,Points of Interest & Landmarks • Architectural Buildings • Religious Sites,NA,3.5,,"Address87 Geylang East Avenue 2 Foo Hai Ch'an Monastery, Singapore 389753 Singapore",Neighborhood: Aljunied,1-2 hours,NA
Toa Payoh Mall,Shopping Malls,NA,3.0,,NA,NA,NA,NA
Church of St. Bernadette,Churches & Cathedrals,NA,3.5,,"Address12 Zion Road, Singapore 247731 Singapore",Neighborhood: Tanglin,NA,NA
Bukit Batok Memorial,Monuments & Statues,NA,3.5,,NA,NA,< 1 hour,12:00 AM - 11:59 PM
Gardens By The Bay East,Parks • Gardens,NA,4.5,,"Address11 Rhu Cross Passion Wave @ Marina Bay, Singapore 437440 Singapore",Neighborhood: Tanjong Rhu,NA,12:00 AM - 11:59 PM
Fossil,Airport Shops,NA,4.0,,NA,Neighborhood: Changi,NA,NA
Orchard Fashion Runway,Cultural Events,NA,5.0,,"AddressOrchard Road, Singapore 39805 Singapore",Neighborhood: Emerald Hill,NA,NA
Singapore Chinese Opera Museum,Speciality Museums,NA,4.0,,"Address100 Jalan Sultan #01-27 Sultan Plaza, Singapore 199001 Singapore",Neighborhood: Crawford,1-2 hours,NA
Joseph Conrad Korzeniowski 顕彰碑,Monuments & Statues,NA,2.5,,NA,NA,NA,NA
Alkaff Upper Serangoon Mosque,Architectural Buildings • Religious Sites,NA,3.5,,"Address66 Pheng Geck Avenue Masjid Alkaff Upper Serangoon Singapore 348261, Singapore 348261 Singapore",Neighborhood: Toa Payoh,< 1 hour,NA
Anglers World Family Fun Park,Parks,NA,5.0,,NA,Neighborhood: Trafalgar,NA,NA
Gothic Gate,Points of Interest & Landmarks,NA,3.0,,NA,NA,< 1 hour,NA
Lee Hwa Diamond Boutique,Airport Shops,NA,2.5,,NA,Neighborhood: Museum,NA,NA
ArtSpace Museum,Speciality Museums,NA,4.5,,"Address15 Marina Grove, Singapore 019598 Singapore",Neighborhood: Central Area/City Area,NA,11:00 AM - 7:00 PM
Swarovski,Airport Shops,NA,1.5,,NA,Neighborhood: Changi,NA,NA
Church of St. Stephen,Churches & Cathedrals,NA,3.5,,"Address30 Sallim Road, Singapore 387639 Singapore",Neighborhood: Geylang,NA,NA
Singapore Art Week,Cultural Events,NA,3.5,,NA,Neighborhood: Outram,NA,NA
Sino Trading and Frame Works,Art Galleries,NA,4.0,,"Address450 Clementi Avenue 3, Singapore 120450 Singapore",Neighborhood: Clementi,NA,10:00 AM - 8:30 PM
Dong Yue Miao,Religious Sites,NA,3.5,,"Address6 Bukit Purmei, Singapore 099866 Singapore",Neighborhood: Telok Blangah Rise,1-2 hours,NA
Claymore Connect,Shopping Malls,NA,3.5,,"Address442 Orchard Road Orchard Hotel Singapore, Singapore 238879 Singapore",Neighborhood: Boulevard,NA,NA
Breathe,Points of Interest & Landmarks • Monuments & Statues,NA,3.5,,"Address2 Bayfront Avenue Marina Bay Sands Marina Bay Waterfront Promenade, Singapore 018972 Singapore",Neighborhood: Marina Bay,< 1 hour,12:00 AM - 11:59 PM
Kong Chow Cultural Centre,History Museums,NA,3.5,,"Address321 New Bridge Road, Singapore 088758 Singapore",Neighborhood: Central Area/City Area,1-2 hours,10:00 AM - 6:00 PM
Kallang Riverside Park,Parks • Scenic Walking Areas,NA,4.0,"toilet facilities,merdeka,scenic,bridge,glassworks","AddressAlong Kallang Road Stadium Road and Crawford Street, Singapore 397732 Singapore",NA,< 1 hour,NA
Makan Angin,Monuments & Statues,NA,4.0,,"Address1 Esplanade Drive Esplanade - Theatres On the Bay, Singapore 038981 Singapore",Neighborhood: Marina Centre,< 1 hour,12:00 AM - 11:59 PM
Times Travel,Airport Shops,NA,4.0,,NA,Neighborhood: Changi,NA,NA
Flower Tree Sculpture,Points of Interest & Landmarks,NA,4.0,,"Address2 Maritime Square, Singapore 099255 Singapore",Neighborhood: Bukit Merah,< 1 hour,12:00 AM - 11:59 PM
The Boy and his Dog,Monuments & Statues,NA,4.0,,NA,Neighborhood: Telok Blangah Drive,< 1 hour,12:00 AM - 11:59 PM
The Sands Theater,Theaters,NA,3.5,,"Address4 Bayfront Avenue Marina Bay Sands Marina Bay Sand, Singapore 018973 Singapore",Neighborhood: Marina Bay,NA,NA
Time Capsule,Points of Interest & Landmarks,NA,1.5,,NA,Neighborhood: Bedok South,NA,NA
Farquhar Garden,Gardens,NA,4.0,,NA,Neighborhood: Museum,< 1 hour,NA
Qi Tian Gong Temple,Religious Sites,NA,3.0,,"Address44 Eng Hoon Street Tiong Bahru Estate, Singapore 169786 Singapore",Neighborhood: Bukit Merah,< 1 hour,NA
Heading Home (Rickshaw),Monuments & Statues,NA,4.0,,"Address1 Nankin Street China Square Central, Singapore 048867 Singapore",Neighborhood: Outram,< 1 hour,12:00 AM - 11:59 PM
Bukit Batok Swimming Complex,Sports Complexes,NA,3.5,,"Address2 Bukit Batok Street 22 Bukit Batok Swimming Complex, Singapore 659581 Singapore",Neighborhood: Bukit Batok,NA,NA
Jinji Tennis Singapore,Sports Camps & Clinics,NA,5.0,,"Address12 Orange Grove Road Darby Park, Singapore 258353 Singapore",Neighborhood: Tanglin,1-2 hours,NA
Chinese Garden,Gardens,NA,3.0,,"Address151 Boon Lay Way Chinese Garden Mrt Station, Singapore 609959 Singapore",Neighborhood: Central Area/City Area,< 1 hour,NA
Mun Sun Fook Tuck Chee,Religious Sites,NA,3.5,,"Address124 Sims Drive, Singapore 387379 Singapore",Neighborhood: Aljunied,NA,NA
Open Doors,Flea & Street Markets,NA,4.5,,"Address181 Orchard Road Orchard Central, Singapore 238896 Singapore",Neighborhood: Somerset,NA,NA
Rivervale Mall,Shopping Malls,NA,3.0,,"Address11 Rivervale Crescent Rivervale Mall, Singapore 545082 Singapore",Neighborhood: Sengkang,< 1 hour,NA
Charles & Keith,Airport Shops,NA,4.5,,NA,Neighborhood: Changi,NA,NA
A World United,Points of Interest & Landmarks,NA,3.0,,"Address2 Bayfront Avenue Marina Bay Sands Marina Bay Waterfront Promenade, Singapore 018972 Singapore",Neighborhood: Marina Bay,< 1 hour,12:00 AM - 11:59 PM
DFS Wines & Spirits,Airport Shops,NA,3.0,,NA,Neighborhood: Changi,NA,NA
So Chocolate,Airport Shops,NA,2.0,,NA,Neighborhood: Changi,NA,NA
Pu Ti Buddhist Temple,Religious Sites,NA,3.0,,"Address121C Punggol Road, Singapore 546637 Singapore",Neighborhood: Compassvale,NA,NA
Bidadari Memorial Garden,Gardens,NA,2.0,,NA,Neighborhood: Toa Payoh,< 1 hour,NA
Cyclist Park,Biking Trails,NA,4.0,,NA,Neighborhood: Bedok,< 1 hour,NA
DFS Vintage,Airport Shops,NA,5.0,,NA,Neighborhood: Changi,NA,NA
Urban Redevelopment Authority,Government Buildings,NA,4.0,,"Address45 Maxwell Road The Ura Centre The URA CCentre, Singapore 069118 Singapore",Neighborhood: Central Business District,1-2 hours,NA
Playkeroo,Playgrounds,NA,5.0,,"Address100 Tras Street 100 am 100 AM Mall, #04-16A, Singapore 079027 Singapore",Neighborhood: Anson,1-2 hours,10:00 AM - 8:00 PM
Visual Art Trails - Civic District,Historic Walking Areas,NA,4.0,,NA,NA,NA,NA
Chillax Market,Department Stores,NA,5.0,,"Address200 Turf Club Road The Grandstand The Grandstand 200, #03-07, Singapore 287994 Singapore",Neighborhood: Swiss Club,NA,NA
Marhaba Lounge,Airport Lounges,NA,3.0,,NA,NA,2-3 hours,12:00 AM - 11:59 PM
Lorong Koo Chye Sheng Hong Temple,Historic Sites • Architectural Buildings • Religious Sites,NA,3.0,,"Address15 Arumugam Road, Singapore 409960 Singapore",Neighborhood: Kampong Ubi,NA,NA
Tokyo Gallery By Musee Collection,Art Galleries,NA,4.0,,"Address350 Orchard Road #21-07 Shaw House, Singapore 238868 Singapore",Neighborhood: City Hall,< 1 hour,9:00 AM - 6:00 PM
Pop And Contemporary Fine Art,Art Galleries,NA,5.0,,"Address350 Orchard Road Shaw House Tong Building #07-03, Singapore 238862 Singapore",Neighborhood: Boulevard,NA,NA
The Music Salon,Theaters,NA,5.0,,"Address49 Niven Road, Singapore 228397 Singapore",Neighborhood: Rochor,2-3 hours,NA
Pasar and the Fortune Teller,Points of Interest & Landmarks,NA,3.0,,"AddressBlock 73 Eng Watt Street Tiong Bahru Estate, Singapore 160073 Singapore",Neighborhood: Bukit Merah,< 1 hour,NA
Mist Walk,Points of Interest & Landmarks,NA,2.5,,NA,Neighborhood: Marina Bay,< 1 hour,12:00 AM - 11:59 PM
Asia Ancient Gallery,Antique Shops,NA,5.0,,"Address19 Tanglin Road # 03 Tanglin Shopping Centre 28, Singapore 247909 Singapore",Neighborhood: Central Area/City Area,NA,NA
Deng Xiaoping Monument,Monuments & Statues,NA,3.0,,"Address10 Empress Place, Singapore 179557 Singapore",Neighborhood: City Hall,< 1 hour,NA
Inscription of the Island,Monuments & Statues,NA,3.0,,NA,Neighborhood: Changi,NA,NA
Relay Newstand,Airport Shops,NA,4.0,,NA,Neighborhood: Changi,NA,NA
BlinkyB Art Gallery,Art Galleries,NA,5.0,,"Address11 Woodlands Close #04-47 Woodlands 11, Singapore 737853 Singapore",Neighborhood: Woodlands,1-2 hours,10:00 AM - 7:00 PM
Kidztime!,Airport Shops,NA,5.0,,NA,Neighborhood: Changi,NA,NA
Tools of Old Singapore,Speciality Museums,NA,5.0,,"Address27 Perak Road, Singapore 208144 Singapore",Neighborhood: Rochor,< 1 hour,NA
