"Name","Cuisine","Hours","Price","Good.For","Location","Address","Postal.Code","Lat","Long"
"Char","Chinese, Local","Tue-Sun: 11:30am-2:30pm (Last Order at 2pm), 5:30-9:30pm (Last order at 8:45pm) Closed Monday","$$","Casual Dining, Kid Friendly, Private Functions, Large Parties (16+)","Jalan Besar","363 Jalan BesarSingapore (208994) ","208994","1.31269672954752","103.859456068218"
"Charcoal Grill and Bar by Kurry Korner","Indian","Mon-Fri: 11:30am-2:30pm, 5:30-10:30pmSat-Sun: 11:30am-10:30pm","$$","Business Meetings, Fine Dining, Casual Dining, Drinks, Private Functions, Quiet Dinner","River Valley","417 River Valley RoadSingapore (248316) ","248316","1.29518853283912","103.829692267218"
"Charlie's Restaurant & Bar","Spanish","Mon-Sun: 11am-12am","$$","Business Meetings, City Views, Fine Dining, Casual Dining, Kid Friendly, Drinks, Private Functions, Quiet Dinner, Large Parties (16+)","Boat Quay, Raffles Place","32 Boat QuaySingapore (049821) ","049821","1.28612369200833","103.849768282843"
"Chatterbox","Chinese, Vegetarian Friendly, Local","Mon-Sun: 11:30am-2:30pm, 6-10:30pm (Last Order: 10pm)","$$$","Business Meetings, Casual Dining, Kid Friendly, Private Functions","Orchard","333 Orchard Road#05-03Mandarin Orchard Hotel SingaporeSingapore (238867) ","238867","1.30206450556085","103.836340953476"
"Chef's Table by Chef Stephan","Modern European, French, Fusion, Vegetarian Friendly","Tue-Thu: 6-10:30pmFri: 12-3pm, 6-10:30pmSat: 6-10:30pmClosed Monday & Sunday","$$$$","Business Meetings, Casual Dining, Drinks, Private Functions, Romantic Dates","Tanjong Pagar","61 Tras StreetSingapore (079000) ","079000","1.2778017500758","103.844486775431"
"Chengdu 成都","Chinese, Fusion, Vegetarian Friendly, Zi Char","Mon-Sat: 11am-3pm, 5-10:30pmClosed Sunday","$$","Business Meetings, Casual Dining, Kid Friendly, Large Parties (16+)","Raffles Place, Telok Ayer","74 Amoy StreetSingapore (069893) ","069893","1.28038062433863","103.846587590564"
"Cherki","Fusion, Seafood, Peranakan, Modern Asian","Mon-Sat: 5-10pmClosed Sunday","$$$","Business Meetings, Casual Dining, Drinks, Quiet Dinner, Romantic Dates","Tanjong Pagar","1 Straits Boulevard #01-02Singapore Chinese Cultural CentreSingapore (018906) ","018906","1.27582919242099","103.849576388626"
"Cherry Garden","Chinese, Dim Sum","Wed-Sun: 12-2:30pm, 6:30-10pmSat-Sun & PH: 11am-1pm (1st Seating), 1:30-3:30pm (2nd Seating), 6:30-10pmClosed Monday & Tuesday","$$$$","Business Meetings, Private Functions","City Hall, Marina Bay, Promenade, Marina Central","5 Raffles AvenueMarina SquareThe Mandarin OrientalSingapore (039797) ","039797","1.29055546605198","103.858457381474"
"Cheval Cafe | Bar | Bistro (Bukit Merah)","Modern European, All-Day Breakfast, Cafe","Mon-Sun: 11am-10:30pm","$$","Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions, Quiet Dinner, Romantic Dates","Bukit Merah","3500A Bukit Merah CentralSingapore (159837) ","159837","1.28205539635574","103.818078212813"
"Cheval Cafe | Bar | Bistro (Kensington)","Bar, Cafe, Burgers","Mon-Sun: 11am-10:30pm","$$","Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Drinks, Quiet Dinner, Romantic Dates","Tai Seng","2 Jalan Lokam#01-51/52Kensington Square Singapore (537846)","537846","1.34560719747232","103.882695128109"
"Cheval Cafe | Bar | Bistro (Kranji)","Seafood, Vegetarian Friendly, Cafe","Sun-Thu: 11am-12amFri-Sat and PH Eve: 11am - 2am","$$","Al Fresco, Casual Dining, Kid Friendly, Private Functions, Large Parties (16+)","Woodlands","1 Equestrian WalkSingapore Turf Club Riding CentreSingapore (737863) ","737863","1.42879486443595","103.767682848078"
"Cheval Chi Bao","Chinese","Mon-Sun: 11:30am-10:30pm","$$","Casual Dining, Kid Friendly, Drinks, Large Parties (16+)","Bukit Merah","3500A Bukit Merah CentralSports Lifestyle CentreSingapore (159838) ","159838","1.28205539635574","103.818078212813"
"Cheval Whiskey Cocktail Bar","Bar",NA,"$$","Business Meetings, Casual Dining, Drinks, Private Functions, Quiet Dinner","Tai Seng","2 Jalan Lokam#01-53Kensington SquareSingapore (537846) ","537846","1.34560719747232","103.882695128109"
"Chez West","Modern European, French",NA,"$$","Drinks, Quiet Dinner","Choa Chu Kang","1 Choa Chu Kang GroveBlk 2, Level 3ITE College WestSingapore (688236) ","688236","1.37527500765096","103.752407481466"
"Chicken Up (Tanjong Pagar)","Korean","Mon-Thu: 5:30pm-2amFri-Sat: 5:30pm-3amSun: 5:30pm-12am","$$","Business Meetings, Casual Dining, Drinks, Private Functions, Large Parties (16+)","Tanjong Pagar","48 Tanjong Pagar Road#01-01Singapore (088469) ","088469","1.27924933269854","103.843652583449"
"Chico Loco","Bar, International, Mexican","Mon-Sat: 11:30am-10pmClosed Sunday","$$","Business Meetings, Casual Dining, Drinks, Quiet Dinner","Telok Ayer","102 Amoy StreetSingapore (069922) ","069922","1.28168763505227","103.847282032792"
"Chinatown Seafood Restaurant (Ba Dao Guan)","Bar, Chinese, Seafood",NA,"$$","Al Fresco, Business Meetings, City Views, Casual Dining, Drinks","Chinatown","2 Trengganu StreetSingapore (058456) ","058456","1.28332382452873","103.844223341182"
"Chinoiserie","Modern European, Chinese, Fusion, Modern Asian","Mon-Sun: 12-2:30pm (Last Order: 2pm), 6-10:30pm (Last Order: 9pm)","$$$$$","Business Meetings, Fine Dining, Drinks, Private Functions, Quiet Dinner, Romantic Dates","Marina Bay","2 Bayfront AvenueB1-15The Shoppes at Marina Bay SandsSingapore (018972) ","018972","1.28332249857386","103.857629111139"
"Chojiro","Japanese, Seafood","Mon-Fri: 11am-3pm, 5-10pmSat: 3-10pmClosed Sunday","$$","Business Meetings, City Views, Casual Dining, Kid Friendly, Drinks","Telok Ayer","23 Church Street#01-04/05Capital SquareSingapore (049481) ","049481","1.28362986367061","103.849100725691"
"Chong Qing Grilled Fish (Bugis)","Chinese","Mon-Sun: 12pm-2am","$$$","Al Fresco, Casual Dining, Kid Friendly, Private Functions, Romantic Dates","Bugis","1 Liang Seah Street#01-05/06Singapore (189022) ","189022","1.29791212335193","103.856336963143"
"Chong Qing Grilled Fish (Upp. Thomson)","Chinese","Mon-Sun: 12pm-2am","$$$","Al Fresco, Casual Dining, Drinks, Quiet Dinner, Romantic Dates","Bishan","205 Upper Thomson RoadSingapore (574345) ","574345","1.35198151506293","103.835132186115"
"Chopsticks by The Asian Kitchen (Delivery)","Chinese",NA,"$$",NA,"Raffles Place","1 Raffles Quay#B2-04/07North TowerSingapore (048583) ","048583","1.2815008889802","103.85216045363"
"Chopsuey Cafe Dempsey","Chinese, Vegetarian Friendly, Dim Sum, Southeast Asian, Cafe, Modern Asian","Mon-Thu: 11:30am-10pm (Last Order: 9pm)Friday: 11:30am-10:30pm (Last Order: 9:30pm)Saturday: 11am-10:30pm (Last Order: 9:30pm)Sunday: 11am-10pm (Last Order: 9pm)","$$$","Al Fresco, Business Meetings, Casual Dining, Drinks, Quiet Dinner, Romantic Dates","Dempsey","10 Dempsey Road #01-23 Singapore (247700) ","247700","1.30329767270241","103.81041169174"
"Choupinette","French, All-Day Breakfast, Cafe","Mon-Sat: 8am-10:30pmSun: 8am-5pm1-31 JanuaryMon-Sun: 8am-4pm","$$","Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Drinks, Pet Friendly, Private Functions, Romantic Dates","Bukit Timah","607 Bukit Timah Road#01-01Singapore (269708) ","269708","1.32425806760882","103.80954154329"
"Chui Huay Lim Teochew Cuisine","Chinese, Zi Char","Mon-Sun: 11:30am-2:30pm (Last Order: 2pm), 5:30-10pm (Last Order: 9:15pm)","$$$","Business Meetings, Kid Friendly, Private Functions","Newton","190 Keng Lee Road#01-02Chui Huay Lim ClubSingapore (308409) ","308409","1.31387787363584","103.841364046558"
"Chura Sushi Bar","Bar, Japanese","Mon-Sun: 11am-10pm","$$","Business Meetings, Casual Dining, Drinks, Quiet Dinner, Romantic Dates","Promenade","3 Temasek Boulevard #B1-122A Suntec City Mall Singapore (038983) ","038983","1.29432416524256","103.860371993025"
"CIA ToP Table","American, French, International","Tue-Thu: 11:30am-1pmFri-Sat: 6-8:30pmClosed Monday & Sunday","$$","Business Meetings, Fine Dining, Casual Dining, Romantic Dates","Tampines","Block 31 Tampines Avenue 1Level 3Temasek Culinary AcademyTemasek PolytechnicSingapore (529757) ","529757","1.34594607020383","103.932631490034"
"Cibo Italiano","Bar, Italian, Vegetarian Friendly","Mon-Sun: 11am-2pm, 5-10:30pm","$$","Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Drinks, Pet Friendly","River Valley","428 River Valley RoadSingapore (248327) ","248327","1.29446098581955","103.8276209036"
"CIN CIN","Bar, Vegetarian Friendly","Mon-Fri: 5-10:30pmSat: 3-10:30pmClosed Sunday","$$$","Business Meetings, Drinks, Private Functions","Tanjong Pagar","100 Peck Seah Street#01-02Oasia Hotel DowntownSingapore (079333) ","079333","1.27585064007043","103.844244849875"
"Citrus By The Pool","Fusion, Halal Certified, Cafe","Mon-Thu: 11am-10:30pm (Last order at 9:30pm)Fri-Sun & Public Holidays: 11am-11pm (Last order at 10pm)","$$","Business Meetings, Casual Dining, Kid Friendly, Private Functions","Woodlands","3 Woodlands Street 13#3-3AWoodlands Swimming ComplexSingapore (738600) ","738600","1.43449712110305","103.77936371276"
"City Hot Pot Shabu Shabu (Guoco Tower)","Chinese, Seafood, Local, Steamboat","Mon-Sun: 11:15am-3pm, 5-10pm","$$","Business Meetings, City Views, Casual Dining, Kid Friendly, Drinks, Large Parties (16+)","Tanjong Pagar","7 Wallich Street#B1-04/05Guocco TowerSingapore (078884) ","078884","1.27672492702287","103.845155395387"
"City Hot Pot Shabu Shabu (Raffles Place)","Chinese, Vegetarian Friendly, Local, Steamboat","Mon-Sun: 11:30am-3pm, 5:30-10pm","$$","Business Meetings, Casual Dining, Kid Friendly, Private Functions, Large Parties (16+)","Raffles Place","1 Raffles Place#04-26/27/28One Raffles PlaceSingapore (048616) ","048616","1.28424656418639","103.851050382307"
"Clan 7™","Chinese, Seafood, Vegetarian Friendly, Dim Sum","Mon-Sun: 11:30am-10pm (Last Order: 9:30pm)","$$$","Business Meetings, Fine Dining, Casual Dining, Drinks, Private Functions, Quiet Dinner, Romantic Dates","Serangoon","151 Lorong Chuan#01-11NTP+Singapore (556741) ","556741","1.35206196118771","103.860698338514"
"Clan Cafe","Cafe",NA,"$$","Business Meetings, Casual Dining, Private Functions","Chinatown, Keong Saik, Outram","31 Bukit Pasoh RoadSingapore (089845) ","089845","1.27932863390139","103.840379699423"
"the Cliff (Sofitel Sentosa)","Italian, Vegetarian Friendly","Mon-Sun: 12-9:30pm","$$$","Al Fresco, Business Meetings, Fine Dining, Drinks, Private Functions, Quiet Dinner","Sentosa","2 Bukit Manis RoadSofitel Singapore Sentosa Resort & SpaSingapore (099891) ","099891","1.24589687601798","103.827569393578"
"The Clifford Pier","Chinese, Malaysian, Local","The Clifford Pier Heritage Dim Sum BrunchSat-Sun: 10:30am-12:30pm (1st Seating), 1:30-3:30pm (2nd Seating)","$$$","Al Fresco, Casual Dining, Drinks, Romantic Dates","Fullerton, Raffles Place","80 Collyer QuayLobby LevelThe Fullerton Bay HotelSingapore (049326) ","049326","1.28396667186675","103.853480198547"
"Clinton Street Baking Company","American, All-Day Breakfast, Cafe","Mon-Thu: 8am-4pmFri-Sat: 8am-9pmSun: 8am-6pm(For Public Holidays, opening hours are subject to change)","$$","Business Meetings, Casual Dining, Drinks, Quiet Dinner","Bugis","31 Purvis StreetSingapore (188608) ","188608","1.29632360061568","103.855127958906"
"Clos Pasoh","French, Vegetarian Friendly","Tue: 4:30-11pmWed-Sat: 12-11pmClosed Monday and Sunday","$$$","Al Fresco, Business Meetings, Casual Dining, Private Functions, Quiet Dinner, Romantic Dates","Outram","48A Bukit Pasoh RoadLevel 2Singapore (089859) ","089859","1.27982756253212","103.840447832361"
"Cloudstreet","Australian, Vegetarian Friendly",NA,"$$$$","Fine Dining, Drinks, Quiet Dinner, Romantic Dates","Telok Ayer","84 Amoy StreetSingapore (069903) ","069903","1.28089328688774","103.846794521948"
"Club Street Wine Room","Bar, Modern European, BBQ","Tue-Wed: 4-10:30pmThu-Sat: 12-10:30 pmSun: 12-8:30pmClosed Monday","$$$$","Casual Dining, Drinks, Private Functions, Romantic Dates","Telok Ayer","87 Club Street#01-01Singapore (069455) ","069455","1.2816058591164","103.845772173834"
"Coastes","Bar, Seafood","Mon-Thu: 9am-9:30pmFri-Sun: 9am-10:30pm","$$$","Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Drinks, Pet Friendly, Private Functions, Quiet Dinner","Sentosa","50 Siloso Beach Walk#01-06Singapore (099000) ","099000","1.25250724545676","103.815987203494"
"COCA at Kallang Leisure Park","Buffet, Chinese, Thai, Seafood, Local, Steamboat","Mon-Fri: 11:30am-3pm (Lunch Last Order: 2:30pm), 6-10:30pm (Dinner Last Order: 9:45pm)Sat & Sun: 11:15am–10:30pm(Lunch Last Order: 3:45pm, Dinner Last Order: 9:45pm)","$$$","Casual Dining, Kid Friendly","Kallang","5 Stadium Walk#02-01Singapore (397693) ","397693","1.30192883841134","103.876208170362"
"COCA at Suntec","Buffet, Chinese, Thai, Local, Steamboat","Mon-Fri: 11:15am-3pm (Last Order: 2:30pm), 6-10:30pm (Last Order: 9:45pm)Sat & Sun: 11:15am-10:30pm (Lunch Last Order: 3:45pm, Dinner Last Order: 9:45pm)","$$$","Business Meetings, Casual Dining, Kid Friendly, Private Functions","City Hall, Promenade, Esplanade, Marina Central","3 Temasek Boulevard#02-440Suntec City MallSingapore (038983) ","038983","1.29432416524256","103.860371993025"
"COCA at Takashimaya","Buffet, Chinese, Thai, Seafood, Local, Steamboat","Mon-Fri: 11:30am-3pm (Last Order: 2:30pm), 6-10:30pm (Last Order: 9:45pm)Sat-Sun: 11:15am-10:30pm (Lunch Last Order: 3:45pm | Dinner Last Order: 9:45pm)","$$$","Casual Dining, Kid Friendly","Orchard","391B Orchard Road#04-23Ngee Ann CitySingapore (238874) ","238874","1.30242417189411","103.834676124723"
"Cochon","Bar, Burgers, BBQ","Tue-Sat: 3-10pmClosed Monday & Sunday","$$$","Al Fresco, Casual Dining, Kid Friendly, Drinks, Pet Friendly, Romantic Dates","Kallang","465 Geylang RoadSingapore (389424) ","389424","1.31349710348658","103.882929685641"
"Cocokata","Thai, Zi Char","Mon-Sun: 11:30am-10:30pm","$$","Casual Dining, Kid Friendly, Drinks","Tampines","Blk 139 Tampines Street 11#01-08Singapore (521139) ","521139","1.34607675043696","103.944284625086"
"CoComelon at Clove","International, Vegetarian Friendly, Cafe","Mon-Thu: 11am-8pmFri-Sun: 10am-9pm","$$$","Business Meetings, Casual Dining, Kid Friendly, Private Functions","City Hall","2 Stamford RoadLevel 2Swissotel The StamfordSingapore (178882) ","178882","1.29326862813347","103.8533651777"
"The Coconut Club","Local, Southeast Asian","Mon: 11am-3pmTue-Sun: 11am-3pm, 6-9:30pm","$$","Al Fresco, Casual Dining, Kid Friendly, Drinks","Telok Ayer","28 Ann Siang RoadSingapore (069708) ","069708","1.280761494595","103.845765352032"
"The Coffee Academics (Millenia Walk)","American, Fusion, All-Day Breakfast, Vegetarian Friendly, Cafe, Burgers","Mon-Thu: 8am-8:30pm (Last Order 8pm)Fri-Sat: 9am-9pm (Last Order 8:30pm)Sun: 9am-8:30pm (Last Order 8pm)","$$","Business Meetings, Casual Dining, Drinks, Quiet Dinner, Romantic Dates","Promenade","9 Raffles Boulevard#01-26Millenia WalkSingapore (039596) ","039596","1.29260544462492","103.859724944443"
"The Coffee Academics (Raffles City)","All-Day Breakfast, Cafe, Burgers","Sun-Thu: 9am-8:30pm (Last Order 8pm)Fri-Sat: 9am-9pm (Last Order 8:30pm)","$$$","Casual Dining, Kid Friendly, Drinks, Quiet Dinner","City Hall","252 North Bridge Road#B1-12Raffles City Shopping CentreSingapore (179103) ","179103","1.29376028134073","103.852768324281"
"The Coffee Academics (Scotts Square)","All-Day Breakfast, Cafe, Burgers","Sun-Thu: 9am-8:30pm (Last Order 8pm)Fri-Sat: 9am-9pm (Last Order 8:30pm)","$$$","Business Meetings, Casual Dining, Kid Friendly, Drinks, Quiet Dinner","Orchard","6 Scotts Road#02-01/#02-02Scotts SquareSingapore (228209) ","228209","1.30585582603508","103.832984356543"
"Collezione Lan","Italian, Steakhouse, Vegetarian Friendly","Tue-Fri: 4:30-10pmSat-Sun & PH: 12-10pmClosed Monday","$$","Business Meetings, Casual Dining, Kid Friendly, Private Functions, Quiet Dinner, Romantic Dates","Kallang","83 Geylang RoadSingapore (389200) ","389200","1.31081213463953","103.872966628179"
"COLLIN'S® (Cineleisure)","Seafood, Steakhouse","Mon-Sun: 11am-11pm (Last Order: 10pm)","$$","Business Meetings, Casual Dining, Kid Friendly","Orchard","8 Grange Road#B1-08/09Cineleisure OrchardSingapore (239695) ","239695","1.30149743415611","103.836444791568"
"COLLIN'S® (Funan)","Seafood, Steakhouse","Mon-Sun: 11am-11pm (Last Order: 10pm)","$$","Business Meetings, Casual Dining, Kid Friendly","City Hall","107 North Bridge Road#01-15Funan MallSingapore (179105) ","179105","1.29124400604241","103.849984790048"
"COLLIN'S® (NTP+)","Steakhouse","Mon-Sun: 11am-10:30pm","$$","Business Meetings, Casual Dining, Kid Friendly, Drinks, Quiet Dinner, Romantic Dates","Serangoon","151 Lorong Chuan#01-10New Tech Park Lobby ASingapore (556741) ","556741","1.35206196118771","103.860698338514"
"COLLIN’S® (Changi Airport)","American, British, Burgers, BBQ","Sun-Thu & PH: 10am-11pm (Last Order: 10pm)Fri, Sat & Eve of PH: 10am-12am (Last Order: 11pm)","$$$","Casual Dining, Kid Friendly, Quiet Dinner","Changi","65 Airport Boulevard #03-21 Changi Airport Terminal 3 Singapore (819663) ","819663","1.35588946177484","103.985884119622"
"COLLIN’S®️ (Great World)","Seafood, Steakhouse","Mon-Sun: 11am-11pm (Last Order: 10pm)","$$","Business Meetings, Casual Dining, Kid Friendly","River Valley","1 Kim Seng Promenade#B1-106/107Great WorldSingapore (237994) ","237994","1.2934759620704","103.831975865363"
"COLLIN’S®️ (Marina Square)","Steakhouse","Mon-Sun: 11am-11pm","$$","Business Meetings, Casual Dining, Kid Friendly, Drinks, Quiet Dinner, Romantic Dates","Promenade","6 Raffles Boulevard#01-204/205Marina SquareSingapore (039594) ","039594","1.29097199909542","103.857575411708"
"COLLIN’S®️ (T3)","Seafood, Steakhouse","Sun-Thu & PH: 10am-10pm (Last Order: 9pm)Fri-Sat & Eve of PH: 10am-11pm (Last Order: 10pm)","$$","Business Meetings, Casual Dining, Kid Friendly","Changi","65 Airport Boulevard#03-21Changi Airport Terminal 3Singapore (819663) ","819663","1.35588946177484","103.985884119622"
"Colony (The Ritz-Carlton, Millenia Singapore)","Buffet, Chinese, Japanese, Indian, Indonesian, Malaysian, International, Seafood, British, Vegetarian Friendly, Local, Dim Sum, Southeast Asian","Mon-Sun: 12-9pm","$$$","Business Meetings, Casual Dining, Kid Friendly, Private Functions, Romantic Dates, Large Parties (16+)","City Hall, Promenade, Marina Central","7 Raffles AvenueLevel 3 Singapore (039799) ","039799","1.29073052443159","103.860099444172"
"Columbus Coffee Co.","All-Day Breakfast, Cafe","Tue-Sat: 9am-10pmSun: 9am-7pmClosed Monday","$$","Casual Dining","Thomson","220 Upper Thomson RoadSingapore (574352) ","574352","1.35291312443482","103.835415866944"
"Comida Mexicana","Mexican","Tue-Sun: 11:30am-2pm, 6-10pmClosed Monday","$$","Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions","East Coast","404 East Coast RoadSingapore (428998) ","428998","1.30873478075801","103.912140669101"
"Common Man Stan","Australian, All-Day Breakfast, Vegetarian Friendly, Cafe","Mon-Sun: 7:30am-5:30pm","$$$","Casual Dining, Drinks, Private Functions, Romantic Dates","Chinatown, Raffles Place, Telok Ayer","11/12 Stanley Street Singapore (068730) ","068730","1.28026441764321","103.84787555932"
"Communal Coffee","All-Day Breakfast, Cafe",NA,"$$","Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Drinks, Pet Friendly, Private Functions, Quiet Dinner, Large Parties (16+)","Dhoby Ghaut, Bugis","60 Prinsep Street Singapore (188664) ","188664","1.29970279376036","103.849887319583"
"Como Cuisine","Modern European, International, Vegetarian Friendly, Cafe","Mon-Fri: 9-11:30am, 12-2:30pm, 6-9pmSat-Sun: 8am-3:30pm","$$$","Al Fresco, Casual Dining, Kid Friendly, Private Functions, Quiet Dinner, Romantic Dates","Dempsey","18A Dempsey Road Singapore (249677) ","249677","1.30569694194069","103.810755832705"
"Conrad Lobby Lounge","Bar","Mon-Sun: 10am-10:30pm","$$","Business Meetings, Drinks, Quiet Dinner","City Hall, Marina Bay, Promenade","2 Temasek Boulevard Conrad Centennial Hotel Singapore (038982) ","038982","1.29349139796574","103.858779513419"
"Cook & Brew","Bar, Modern European, Fusion, Vegetarian Friendly, Modern Asian","Mon-Sun: 11:30am-10:30pm","$$$","Al Fresco, Business Meetings, City Views, Casual Dining, Kid Friendly, Drinks, Private Functions, Romantic Dates","Marina Bay, Raffles Place","12 Marina View Level 33 The Westin Singapore Asia Square Tower 2 Singapore (018961) ","018961","1.27822949964567","103.850812513482"
"Cool Cats","Bar","Thu-Sat: 7pm-1amClosed Monday to Wednesday & Sunday","$$","Drinks","City Hall","32 Beach Road Singapore (189764) ","189764","1.29415243891628","103.855108379944"
"The Cooperage","Bar, Japanese, French, Italian","Mon-Sat: 4pm-12amClosed Sunday","$$","Business Meetings, Casual Dining, Drinks, Private Functions","Clarke Quay","42 Hong Kong StreetSingapore (059681) ","059681","1.28724893939021","103.847557053538"
"Copper","Modern Asian","Mon-Sat: 4-11pmClosed Sunday","$$$","Business Meetings, Casual Dining, Drinks, Quiet Dinner","Orchard","167 Penang Road #01-01 Winsland House Singapore (238462) ","238462","1.2995421111902","103.840858049903"
"Copper Chimney (Syed Alwi)","Indian, Vegetarian Friendly","Mon-Sun: 11:30am-11:30pm","$$","Business Meetings, Casual Dining, Private Functions, Large Parties (16+)","Jalan Besar","100 Syed Alwi RoadSingapore (207676) ","207676","1.30960088648314","103.855275631946"
"Coq & Balls @ Cross Street","American, Bar, Vegetarian Friendly, Burgers","Mon-Fri: 11:30am-10:30pmSat: 5-10:30pmClosed Sunday and PH","$$","Al Fresco, Casual Dining, Kid Friendly, Drinks, Private Functions","Chinatown, Telok Ayer","20 Cross Street#01-19/20/21/22Singapore (048422) ","048422","1.28374576252035","103.847469684006"
"Coq & Balls @ Tiong Bahru","Bar","Mon-Sun: 12-10:30pm","$$","Casual Dining, Kid Friendly, Drinks, Pet Friendly, Private Functions, Large Parties (16+)","Tiong Bahru","6 Kim Tian Road Kai Fook MansionSingapore (169246) ","169246","1.28514430857013","103.829280379311"
"Coriander Leaf @ CHIJMES","International","Mon-Fri: 12-2:30pm, 6-10:30pmSaturday 6-10:30pmClosed Sunday & Selected PH","$$$$","Business Meetings, Fine Dining, Casual Dining, Drinks, Private Functions, Quiet Dinner","City Hall, CHIJMES","30 Victoria Street #02-01 CHIJMES Singapore (187996) ","187996","1.29479670956332","103.852573366033"
"Corner House","Bar, Modern European, French, Vegetarian Friendly",NA,"$$$$$","Business Meetings, Fine Dining, Casual Dining, Drinks, Private Functions, Quiet Dinner, Romantic Dates","Bukit Timah, Tanglin","1 Cluny Road Singapore Botanic Gardens EJH Corner House (Nassim Gate Entrance) Singapore (259569) ","259569","1.32215664251126","103.818185872471"
"Coucou (Swiss Restaurant)","Bar, Modern European","Mon-Sun: 12-2:30pm, 6-10:30pm","$$$$","Al Fresco, Casual Dining, Drinks, Private Functions, Romantic Dates","Tanjong Pagar","9 Craig Road #01-01 Singapore (089669) ","089669","1.2777121177844","103.842805537195"
"Coucou Hotpot.Brew Tea (Suntec City)","Chinese, Southeast Asian, Steamboat","Mon-Sun: 11am-11pm","$$$","Business Meetings, Casual Dining, Drinks, Private Functions, Romantic Dates","Promenade","3 Temasek Boulevard#03-332 to 337Suntec City MallSingapore (038983) ","038983","1.29432416524256","103.860371993025"
"The Courtyard","Bar, Japanese, Indian, International","A La Carte: Mon-Sun: 9am-6pm (Last Order: 5:30pm)Afternoon Tea: Mon-Sun: 3-5:30pm","$$$","Casual Dining, Drinks","Fullerton, Raffles Place","1 Fullerton SquareThe Fullerton Hotel SingaporeSingapore (049178) ","049178","1.28622855041207","103.853028067544"
"Crossings Cafe","All-Day Breakfast, Cafe, Burgers","Tue-Sun: 8am-10pmClosed Monday","$$","Casual Dining, Kid Friendly, Drinks, Large Parties (16+)","Bugis","55 Waterloo Street #01-01 Catholic Centre Building Singapore (187954) ","187954","1.29826166207725","103.851521091878"
"Crystal Jade Dining IN","Chinese, Vegetarian Friendly","Mon-Fri: 11am–3pm, 6–9:30pm Sat, Sun & PH: 10:30am–3:30pm, 6–9:30pm","$$$$","Business Meetings, Fine Dining, Drinks, Private Functions","Harbourfront","1 Harbourfront Walk #01-112 VivoCity Singapore (098585) ","098585","1.26427054261311","103.822476140813"
"Crystal Jade Golden Palace","Chinese","Mon-Fri: 11am–3pm, 6–9:30pm Sat, Sun & PH: 10:30am–3:30pm, 6–9:30pm","$$$$","Business Meetings, Fine Dining, Private Functions","Orchard","290 Orchard Road #05-22 The Paragon Singapore (238859) ","238859","1.30375855987932","103.835240308481"
"Crystal Jade Hong Kong Kitchen (Causeway Point)","Chinese","Mon–Fri: 11am–10pm (Last Order: 9:30pm)Sat-Sun & PH: 10:30am–10pm (Last Order: 9:30pm)","$$","Business Meetings, Casual Dining, Kid Friendly, Private Functions","Woodlands","1 Woodlands Square #05-10 Causeway Point Singapore (738099) ","738099","1.43592702612215","103.786047454862"
"Crystal Jade Hong Kong Kitchen (Great World City)","Chinese","Mon–Fri: 11am–10pm (Last Order: 9:30pm)Sat-Sun & PH: 10:30am–10pm (Last Order: 9:30pm)","$$","Business Meetings, Casual Dining, Kid Friendly, Private Functions","River Valley","1 Kim Seng Promenade #03-127 Great World City Singapore (237994) ","237994","1.2934759620704","103.831975865363"
"Crystal Jade Hong Kong Kitchen (Holland Village)","Chinese","Mon–Sun & PH: 9:30am-10pm (Last Order: 9:30pm)","$$","Business Meetings, Casual Dining, Kid Friendly, Private Functions","Holland Village","2 Lorong Mambong Holland Village Singapore (277671) ","277671","1.31100447525253","103.795313885882"
"Crystal Jade Hong Kong Kitchen (Suntec City)","Chinese","Mon–Fri: 11am–10pm (Last Order: 9:30pm)Sat-Sun & PH: 10:30am–10pm (Last Order: 9:30pm)","$$","Business Meetings, Casual Dining, Drinks, Private Functions","City Hall, Promenade, Esplanade, Marina Central","3 Temasek Boulevard#B1-112 Suntec City Mall Singapore (038983) ","038983","1.29432416524256","103.860371993025"
"Crystal Jade Hong Kong Kitchen (Takashimaya)","Chinese","Mon–Fri: 11am–10pm (Last Order: 9:30pm)Sat-Sun & PH: 10:30am–10pm (Last Order: 9:30pm)","$$","Business Meetings, Casual Dining, Kid Friendly, Private Functions","Orchard","391 Orchard Road #B2-38 Takashimaya Shopping Centre Singapore (238872) ","238872","1.30242417189411","103.834676124723"
"Crystal Jade Hong Kong Kitchen (Tampines Mall)","Chinese","Mon–Fri: 11am–10pm (Last Order: 9:30pm)Sat-Sun & PH: 10:30am–10pm (Last Order: 9:30pm)","$$","Business Meetings, Casual Dining, Drinks, Private Functions","Tampines","4 Tampines Central 5#B1-11 Tampines Mall Singapore (529510) ","529510","1.35267232210231","103.944387981063"
