Name,Long,Lat,Opening_Hour,Address,Description,Link,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Price,Duration (hr),Indoor/outdoors,Special Notes,region
Marina Bay Sands¨ SkyPark,103.86081,1.283456,"Monday to Thursday, 9.30am - 10pm.Friday to Sunday, 9.30am - 11pm","Level 57, 10 Bayfront Avenue","The Marina Bay Sands¨ SkyPark is a roof like no other, perched 200 metres in the air with an infinity pool and observation deck in the clouds.",http://www.marinabaysands.com/sands-skypark.html,not crowded,not crowded,not crowded,some crowd,some crowd,crowded,crowded,$$$,1,Indoors,NA,south
"Resorts World Sentosa, Singapore",103.82033,1.25675,Opening   differ for the various attractions.,"8 Sentosa Gateway, Sentosa Island",Experience endless excitement at Resorts World Sentosa with a variety of attractions and entertainment hot spots.,http://www.rwsentosa.com,some crowd,some crowd,crowded,crowded,crowded,max,max,$,3,Indoors,NA,south
Sungei Buloh Wetland Reserve,103.730149,1.44672,NA,301 Neo Tiew Crescent,This ecological wonder will transport you into a world rich in animal and plant life.,https://www.nparks.gov.sg/sbwr,not crowded,not crowded,not crowded,some crowd,some crowd,crowded,crowded,$,3,Outdoors,NA,north
S.E.A. Aquarium,103.819493,1.257355,Open daily at 10am.Closing time varies. Please visit the official website for more information.,"8 Sentosa Gateway, Sentosa Island","Immerse yourself underwater at the S.E.A. Aquariumª and discover more than 100,000 marine animals.",http://www.rwsentosa.com/language/en-US/Homepage/Attractions/MarineLifePark,not crowded,not crowded,not crowded,some crowd,some crowd,crowded,crowded,$$$$$,2,Indoors,NA,south
Singapore River: History & Culture Tours,103.84676,1.28848,NA,10 Eu Tong Sen Street,"Get to know historic Singapore River and its famous quays: Boat Quay, Clarke Quay and Robertson Quay. After all, this is where it all began.",http://singapore-river.com/,not crowded,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,$$$$$,4.5,Outdoors,NA,south
Joo Chiat/Katong: Singapore Peranakan Neighbourhood,103.90448,1.30589,NA,113 East Coast Road,"Discover Peranakan culture as you stroll past heritage shophouses, quaint stores and eateries in this charming corner of eastern Singapore.",NA,not crowded,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,$,2,Outdoors,NA,east
Sentosa Island,103.82809,1.24883,NA,33 Allanbrooke Road,"Sentosa Island is Singapore's favourite leisure destination with exciting attractions, golden beaches, luxe retreats and the country's first integrated resort.",http://www.sentosa.com.sg,not crowded,not crowded,not crowded,not crowded,some crowd,crowded,crowded,$,8,Indoor/outdoors,NA,south
Chinatown ,103.843771,1.2817,NA,2 Banda Street,"Singapore's historic Chinatown is a bustling mix of old and new, filled with traditional shops and markets as well as cool stores and cafes.",http://www.chinatown.sg/,some crowd,some crowd,some crowd,crowded,crowded,max,max,$,2,Indoor/outdoors,NA,south
Buddha Tooth Relic Temple,103.84438,1.28162,"Daily, 7am - 7pm",288 South Bridge Road,This Tang-styled Chinese Buddhist temple in Chinatown gets its name from what the Buddhists regard as the Sacred Buddha Tooth Relic.,http://www.btrts.org.sg/,some crowd,some crowd,some crowd,not crowded,not crowded,crowded,crowded,$,1,Indoors,NA,south
National Gallery Singapore,103.851356,1.290141,"Effective from 24 November 2015, Sunday to Thursday and  public holidays,10am - 7pm ,Friday to Saturday and  eve of public holidays, 10am - 10pm",1 St Andrew's Road,Take in the region's newest and largest museum of modern Singapore and Southeast Asian art housed within two of Singapore's awe-inspiring national monuments.,http://www.nationalgallery.sg,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,some crowd,$$,2,Indoors,NA,south
Universal Studios Singaporeª Theme Park,103.823808,1.254042,Open daily at 10am.Closing time varies. Please visit the official website for more information.,"8 Sentosa Gateway, Sentosa Island",Step into the glamorous world of movies at this world-class theme park located within Resorts World Sentosaª.,http://www.rwsentosa.com/language/en-US/Homepage/Attractions/UniversalStudiosSingapore,closed,closed,closed,some crowd,crowded,max,crowded,$$$$$,8,Indoor/outdoors,NA,south
Singapore Science Centre,103.735872,1.33295,"Science Centre Singapore Daily, 10am - 6pm(last admission: 5.15pm) .Omni Theatre Daily, 12pm - 6pm (last show: 6pm) . Snow City Daily, 10am - 6pm (last admission: 5pm) School and public holidays, 10am - 7pm (last admission: 6pm)",15 Science Centre Road,This enlightening attraction holds the largest collection of educational materials devoted to science in Singapore.,http://www.science.edu.sg/Pages/SCBHome.aspx,closed,closed,closed,closed,some crowd,crowded,some crowd,$$$,3,Indoors,NA,west
Fuk Tak Chi Museum,103.84887,1.28292,"Daily, 10am - 10pm",76 Telok Ayer Street,Fuk Tak Chi Museum was once the oldest Chinese temple in Singapore and is an elegant example of restored architecture in Chinatown.,http://www.fareastsquare.com.sg/home/index.aspx?key=fuktakchimuseum,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,some crowd,$,1,Indoors,NA,south
Katong Antique House ,103.90714,1.30726,"Daily, 11am - 4.30pm",208 East Coast Road,"Step into this fully restored bona fide Peranakan family home, and admire the many antiques and heirlooms worthy of any museum collection.",NA,No data,some crowd,crowded,some crowd,some crowd,some crowd,some crowd,$$,1,Indoors,NA,east
Chinese Garden ,103.73,1.338611,"Daily, 6am - 11pm",1 Chinese Garden Road,A tranquil patch of imperial China in the west of Singapore is pleasant respite from the bustle of the city.,http://www.nhb.gov.sg/resources/virtual-exhibitions-and-tours/walking-through-heritage/chinese-garden,not crowded,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,$,2,Outdoors,Currently Under Renovation,west
East Coast Park ,103.912187,1.300784,NA,Along East Coast Parkway and East Coast Park Service Road,"With so many attractions packed into this 15-km stretch of beaches, you'll never run out of things to do.",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&amp;task=parks&amp;id=14&amp;Itemid=371,not crowded,not crowded,not crowded,some crowd,some crowd,crowded,crowded,$,3,Outdoors,NA,east
Fort Canning Park,103.846509,1.295382,NA,"Bounded by Hill Street, Canning Rise, Clemenceau Avenue and River Valley Road","Whether you're a history buff, music fan or nature lover, this historic landmark on a hill is full of surprises.",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&amp;task=parks&amp;id=16Th,not crowded,not crowded,not crowded,not crowded,not crowded,some crowd,crowded,$,2,Outdoors,NA,south
Kusu Island,103.860523,1.223097,NA,Kusu Island,"If you're looking for local heritage off the beaten track with a good dash of nature, Kusu Island hits the spot.",http://www.sentosa.com.sg/en/nature/southern-islands/kusu-island/,not crowded,not crowded,not crowded,not crowded,not crowded,some crowd,some crowd,$$,8,Outdoors,NA,south
Jurong Bird Park,103.706442,1.318706,"Daily, 8.30am - 6pm",2 Jurong Hill,"Jurong Bird Park has almost every species to impress avian lovers, along with fun exhibits, interactive shows, and of course, its charming residents.",http://www.birdpark.com.sg,closed,closed,closed,some crowd,some crowd,crowded,some crowd,$$$$,2,Indoor/outdoors,NA,west
HortPark,103.799724,1.279069,"Daily, 6am -10pm",33 Hyderabad Road,Lose yourself in this dreamscape of stunning gardens that will make you forget the bustle of city.,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&amp;task=parks&amp;id=17&amp;Itemid=73,some crowd,not crowded,some crowd,some crowd,some crowd,crowded,some crowd,$,3,Outdoors,NA,south
Adventure Cove Waterpark,103.819525,1.257339,"Daily, 10am - 6pm","8 Sentosa Gateway, Sentosa Island",Make a big splash at this aquatic adventure park at Resorts Worldª Sentosa.,http://www.rwsentosa.com/language/en-US/Homepage/Attractions/MarineLifePark/AdventureCoveWaterpark,closed,closed,closed,closed,some crowd,crowded,some crowd,$$$,7,Outdoors,NA,south
